"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Ivan De Jesus","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".304",".336",".640",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","9886"
"Joe Dunand","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".278",".332",".610",".263","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005360"
"Jack Reinheimer","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".297",".325",".622",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","14938"
"Allen Cordoba","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".287",".337",".624",".269","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","15722"
"Bryson Brigman","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".291",".310",".601",".263","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829857"
"Xavier Edwards","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".282",".306",".587",".255","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007018"
"Vinny Capra","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".277",".320",".597",".260","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006731"
"Michael Perri","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".274",".337",".612",".263","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007280"
"Jordan Gore","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".281",".319",".600",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004127"
"Stephen Drew","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".285",".381",".666",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","4251"
"Dixon Machado","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".298",".328",".626",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","11472"
"Rayder Ascanio","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".282",".323",".605",".263","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa735861"
"Richard Urena","Orioles","5","19","18","4","1","0","0","2","2","1","4","0","0","0","",".241",".281",".353",".634",".270","","63","0.0","0.1","","-0.9","0.2","0.0","","999.0","16411"
