Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Noel Cuevas,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.27,0.317,0.407,0.725,0.308,,73,0,0,,0,0,0,11894
Ben Revere,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.248,0.291,0.339,0.63,0.272,,69,0,0,,0,0,0,4712
Stephen Cardullo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.254,0.315,0.406,0.72,0.307,,73,0,0,,0,0,0,11204
Matt Holliday,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.224,0.302,0.384,0.686,0.294,,80,0,0,,0,0,0,1873
Ryan Court,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.215,0.292,0.345,0.637,0.277,,68,0,0,,0,0,0,12268
Peter Bourjos,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.273,0.366,0.639,0.272,,65,0,0,,0,0,0,2578
Johnny Davis,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.277,0.317,0.594,0.258,,60,0,0,,-0.1,0,0,15830
Desmond Jennings,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.209,0.274,0.35,0.624,0.268,,67,0,0,,0,0,0,1965
Isaac Galloway,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.218,0.268,0.349,0.617,0.264,,60,0,0,,-0.1,0,0,5238
Eric Young Jr.,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.222,0.28,0.326,0.606,0.263,,63,0,0,,0,0,0,7158
Gregor Blanco,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.291,0.345,0.636,0.275,,67,0,0,,0,0,0,3123
Yasmany Tomas,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.236,0.275,0.428,0.702,0.292,,77,0,0,,0,0,0,17171
Johnny Field,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.222,0.268,0.373,0.641,0.272,,65,0,0,,0,0,0,15048
Brandon Barnes,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.219,0.274,0.364,0.638,0.272,,65,0,0,,0,0,0,629
Craig Gentry,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.288,0.329,0.617,0.269,,63,0,0,,0,0,0,9571
Ryan Rua,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.209,0.266,0.363,0.629,0.268,,63,0,0,,0,0,0,12409
Terrance Gore,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.206,0.277,0.285,0.562,0.25,,50,0,0,,-0.1,0,0,13658
Lane Adams,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.203,0.271,0.334,0.605,0.262,,58,0,0,,-0.1,0,0,10767
Drew Jackson,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.197,0.268,0.306,0.574,0.251,,55,0,0,,-0.1,0,0,17807
Darnell Sweeney,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.203,0.268,0.318,0.586,0.255,,54,0,0,,-0.1,0,0,13284
Peter O'Brien,Braves,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.192,0.263,0.366,0.629,0.267,,60,0,0,,-0.1,0,0,13288
Chris Shaw,Giants,5,19,18,4,1,0,1,2,2,1,6,0,0,0,,0.238,0.292,0.411,0.702,0.296,,84,0,-0.1,,-0.4,-0.3,0,17738
Kyle Garlick,Dodgers,2,7,6,1,0,0,0,1,1,0,2,0,0,0,,0.22,0.27,0.401,0.671,0.281,,74,0,0,,-0.2,-0.1,0,18063
Guillermo Heredia,Pirates,70,283,251,63,13,1,5,28,27,23,55,5,4,2,,0.253,0.327,0.37,0.697,0.303,,86,0.3,-0.6,,-5,-4.3,0,18721
Ben Gamel,Brewers,28,114,100,26,6,1,2,12,12,11,28,1,1,1,,0.258,0.335,0.393,0.728,0.313,,90,0.3,0,,-1.2,-2.6,0,12160
Mac Williamson,Mariners,3,13,12,3,0,0,0,1,2,1,4,0,0,0,,0.23,0.298,0.401,0.699,0.297,,78,0,0,,-0.4,-0.2,0,14158
Michael Hermosillo,Angels,10,39,35,7,1,0,1,4,4,3,12,1,1,0,,0.215,0.287,0.358,0.646,0.279,,73,0,0.1,,-1.3,-0.2,0,16285
Matt Kemp,Marlins,3,14,13,3,1,0,1,1,2,1,3,0,0,0,,0.247,0.294,0.425,0.719,0.302,,88,-0.1,-0.3,,-0.3,-0.4,0,5631
Andrew Stevenson,Nationals,5,19,17,4,1,0,0,2,2,1,5,0,0,0,,0.25,0.304,0.35,0.654,0.283,,69,0,-0.1,,-0.8,-0.1,0,17932
Phillip Ervin,Reds,75,314,279,68,13,3,9,35,35,27,76,4,8,3,,0.243,0.316,0.41,0.726,0.309,,86,0.6,-3.1,,-5.2,-5.3,0,14738
Tim Locastro,Diamondbacks,33,137,122,31,7,1,2,15,13,8,26,5,5,2,,0.25,0.32,0.373,0.693,0.301,,82,0.5,-0.2,,-2.7,-2,0,15124
Charlie Tilson,Pirates,10,39,35,9,2,0,0,3,3,2,8,0,1,0,,0.259,0.311,0.349,0.66,0.286,,75,0.1,-0.5,,-1.2,-0.4,0,12983
Anthony Alford,Blue Jays,24,101,91,20,4,0,2,11,9,7,30,1,4,2,,0.225,0.29,0.35,0.64,0.277,,70,0.2,-0.6,,-3.7,-0.3,0,14329
Seth Brown,Athletics,24,100,91,21,4,1,3,11,12,7,28,1,1,0,,0.232,0.287,0.4,0.687,0.29,,82,0,0.2,,-2.3,-1.7,-0.1,18171
Steve Pearce,,24,103,91,21,4,0,4,11,12,9,25,2,0,0,,0.236,0.313,0.409,0.722,0.308,,89,-0.2,-0.8,,-1.6,-2.4,-0.1,9957
Dominic Smith,Mets,43,177,160,39,8,0,6,20,22,13,42,1,1,1,,0.242,0.304,0.418,0.722,0.306,,91,0,-0.5,,-2,-4.4,-0.1,15653
